Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Average
2,http-192.168.1.57-2020-subjects-lvl2-reagent,2186,2272,2905,2505,1468,2970,5498,2557,4007,1729,2092,2978,3072,3729,1536,1618,2272,1752,2420,2785,2617.55
2,http-192.168.1.57-2020-lacunaWebPages-www.theguardian.com-www.theguardian.com-2,7205,7409,8672,9843,9775,7252,8023,8477,10369,8828,8248,8241,7428,8053,6593,7722,7525,7773,8016,7459,8145.55
2,http-192.168.1.57-2020-subjects-lvl2-dijon,1021,1336,1469,1001,799,920,953,1050,796,1044,911,990,942,848,826,876,818,1018,972,1116,985.3
2,http-192.168.1.57-2020-subjects-lvl2-vanillajs,693,619,624,667,666,525,681,968,751,629,585,612,581,582,686,604,983,681,505,573,660.75
2,http-192.168.1.57-2020-lacunaWebPages-www.wikipedia.org-www.wikipedia.org-2,1558,1727,1959,1598,1591,1613,2010,1883,1703,1499,1657,1755,1596,1619,1665,1683,1434,1799,1813,1760,1696.1
2,http-192.168.1.57-2020-lacunaWebPages-www.office.com-www.office.com-2,2424,2255,2808,2291,2640,2582,2392,2422,3093,4237,2698,2388,2319,3359,2267,3813,2208,2421,2908,2414,2696.95
2,http-192.168.1.57-2020-lacunaWebPages-www.booking.com-www.booking.com-2,3348,3321,4833,4658,3433,3949,5213,5353,3934,5023,5096,3785,3296,4528,5153,3764,3353,3286,3771,3636,4136.65
2,http-192.168.1.57-2020-subjects-lvl2-backbone_require,524,574,583,667,474,536,470,532,2646,510,623,456,543,755,565,505,541,570,541,528,657.15
2,http-192.168.1.57-2020-subjects-lvl2-jsblocks,878,942,782,807,676,1425,1347,1436,1816,723,979,1690,766,703,882,847,923,907,788,880,1009.85
2,http-192.168.1.57-2020-subjects-lvl2-knockoutjs_require,765,516,2384,526,613,576,541,584,498,2538,629,579,522,550,497,584,498,574,501,656,756.55
2,http-192.168.1.57-2020-subjects-lvl2-gwt,1819,838,847,1222,711,1360,986,814,910,881,1007,948,790,774,736,860,734,762,771,838,930.4
2,http-192.168.1.57-2020-subjects-lvl2-backbone,978,865,830,735,1298,845,867,916,730,1538,833,966,1974,922,797,788,848,773,908,818,961.45
2,http-192.168.1.57-2020-subjects-lvl2-vue,785,834,745,885,754,1085,685,978,776,721,727,748,1166,743,697,746,739,814,765,825,810.9
2,http-192.168.1.57-2020-lacunaWebPages-www.mozilla.org-www.mozilla.org-2,3850,4616,4050,3718,4200,3516,3728,5342,4136,4600,4249,4222,3685,2987,2451,6289,3487,2324,3104,6295,4042.45
2,http-192.168.1.57-2020-lacunaWebPages-www.amazon.in-www.amazon.in-2,4471,5870,5307,4473,5630,5828,4892,3856,3843,4665,4215,4162,4463,4198,4399,4186,3784,4289,4949,4721,4610.05
2,http-192.168.1.57-2020-subjects-lvl2-mithril,636,655,587,1018,671,651,648,824,658,692,2797,632,571,712,656,580,655,589,642,639,775.65
2,http-192.168.1.57-2020-subjects-lvl2-angularjs_require,624,482,575,564,550,680,516,603,1273,531,508,496,968,454,528,582,524,513,539,2298,690.4
2,http-192.168.1.57-2020-lacunaWebPages-aws.amazon.com-aws.amazon.com-2,8370,4549,4384,4456,4554,4162,5382,9332,7076,4804,4861,4469,4508,6536,6316,4415,4076,5321,4797,5011,5368.95
