Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Average
0,http-192.168.1.57-2020-lacunaWebPages-apache.org-apache.org-0,6555,5400,5439,5219,5009,6745,6975,2211,2292,2358,3987,2443,6218,5539,2033,1780,2249,1947,2702,2065,3958.3
0,http-192.168.1.57-2020-subjects-lvl0-reagent,2951,2291,4452,3481,4841,2876,2797,3170,2560,2664,3667,3150,4603,3348,2861,3107,2864,2888,3245,3102,3245.9
0,http-192.168.1.57-2020-subjects-lvl0-backbone,966,1498,1302,903,1660,1001,881,698,785,1083,1609,1484,1315,1018,1217,1160,847,1565,2619,1004,1230.75
0,http-192.168.1.57-2020-lacunaWebPages-www.wikipedia.org-www.wikipedia.org-0,1730,2188,1620,1709,1727,1557,2060,1643,1679,1813,1800,1492,1580,1704,1574,1616,1647,1686,1702,1697,1711.2
0,http-192.168.1.57-2020-subjects-lvl0-angularjs_require,491,843,860,592,504,639,659,1026,578,482,506,484,572,598,493,520,545,523,507,478,595.0
0,http-192.168.1.57-2020-lacunaWebPages-www.theguardian.com-www.theguardian.com-0,8643,8554,9898,9886,7734,7543,8970,7944,8549,6739,9651,11503,9296,9272,7115,6966,7841,11208,8157,7165,8631.7
0,http-192.168.1.57-2020-lacunaWebPages-www.amazon.com-www.amazon.com-0,7655,11454,9707,8891,11204,10441,10839,8268,8680,8703,10083,8400,9210,7081,9775,8617,7236,12853,13526,10223,9642.3
0,http-192.168.1.57-2020-lacunaWebPages-stackexchange.com-stackexchange.com-0,3516,3419,4906,3329,3848,4080,5237,5259,3904,5100,4718,5890,3255,3497,3324,3606,4056,3568,4753,5520,4239.25
0,http-192.168.1.57-2020-lacunaWebPages-www.paypal.com-www.paypal.com-0,1823,1849,2124,2039,1606,2399,1922,2109,2948,2395,2156,2282,1800,2272,2033,1946,1833,1762,2253,1814,2068.25
0,http-192.168.1.57-2020-subjects-lvl0-exoskeleton,656,1337,827,754,964,639,639,2042,904,607,779,766,680,814,719,624,720,2475,642,715,915.15
0,http-192.168.1.57-2020-subjects-lvl0-canjs_require,543,555,484,603,630,682,895,588,602,564,528,494,651,534,513,513,530,536,516,511,573.6
0,http-192.168.1.57-2020-subjects-lvl0-jquery,919,861,803,936,2637,1619,750,1101,766,832,716,991,803,735,881,771,1548,788,1402,1282,1057.05
0,http-192.168.1.57-2020-subjects-lvl0-vanilla_es6,523,577,462,2429,741,626,546,508,483,476,621,509,511,538,526,503,713,520,731,501,652.2
0,http-192.168.1.57-2020-subjects-lvl0-dojo,1205,1293,1702,1976,1273,1543,1154,2418,1432,1392,1137,1090,1131,1299,2385,2912,1078,1253,1318,1359,1517.5
