Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Average
1,http-192.168.1.57-2020-subjects-lvl1-knockback,1256,1021,2761,1271,1748,1073,2986,1424,1268,784,926,1245,1242,921,1439,1075,944,1143,1069,1126,1336.1
1,http-192.168.1.57-2020-lacunaWebPages-nl.godaddy.com-nl.godaddy.com-1,5232,3535,3224,7412,3618,3551,4171,3122,2971,2826,2631,2481,2684,2907,2650,2477,2830,2653,2659,2696,3316.5
1,http-192.168.1.57-2020-lacunaWebPages-www.amazon.in-www.amazon.in-1,5115,4255,5518,5758,4904,4471,4127,4366,4475,4312,3945,4914,4767,5130,4551,4126,4354,4573,4308,4126,4604.75
1,http-192.168.1.57-2020-subjects-lvl1-backbone_require,554,699,685,583,603,625,573,564,506,482,509,662,578,519,486,590,575,592,553,529,573.35
1,http-192.168.1.57-2020-subjects-lvl1-vanilla_es6,505,509,3723,561,1149,497,504,550,602,553,484,545,578,555,520,615,466,532,509,580,726.85
1,http-192.168.1.57-2020-subjects-lvl1-knockoutjs_require,585,603,711,728,507,734,602,643,555,468,532,893,540,533,680,677,543,570,657,522,614.15
1,http-192.168.1.57-2020-subjects-lvl1-backbone,981,925,743,901,836,888,781,801,829,797,869,995,1600,942,788,754,1282,797,756,883,907.4
1,http-192.168.1.57-2020-subjects-lvl1-jsblocks,1020,850,1326,1138,1142,943,923,1056,811,967,1227,1337,910,933,671,783,794,972,1013,869,984.25
1,http-192.168.1.57-2020-subjects-lvl1-dojo,1141,1524,1234,1308,1497,1205,1332,1164,1292,1131,1636,1292,1094,1121,1852,1199,1088,1515,2857,1680,1408.1
1,http-192.168.1.57-2020-lacunaWebPages-stackoverflow.com-stackoverflow.com-1,2590,2964,3007,2723,4634,2807,2491,2553,2862,2479,2665,2794,2347,2384,2742,2596,2775,2580,2736,3523,2812.6
1,http-192.168.1.57-2020-subjects-lvl1-jquery,1056,957,957,844,989,900,826,875,778,802,939,751,1154,2286,717,719,988,767,762,847,945.7
1,http-192.168.1.57-2020-lacunaWebPages-apache.org-apache.org-1,6178,5489,5539,5696,5925,5376,2109,2169,2810,2092,2224,2035,2253,2125,2235,2392,2024,2904,2019,2054,3282.4
1,http-192.168.1.57-2020-lacunaWebPages-www.paypal.com-www.paypal.com-1,2205,1875,1720,1919,2144,3076,3654,1776,2349,2155,2195,2024,1665,2741,1975,5125,1604,2635,1997,2031,2343.25
1,http-192.168.1.57-2020-subjects-lvl1-canjs,987,1399,1266,1576,1504,2278,2933,1113,1327,1205,1233,1034,1026,938,1534,1392,1907,1509,987,1273,1421.05
1,http-192.168.1.57-2020-lacunaWebPages-stackexchange.com-stackexchange.com-1,4538,4055,3557,3225,5282,3496,3293,3127,3793,5097,4033,3930,5865,10785,4268,3384,4746,5105,3855,3477,4445.55
1,http-192.168.1.57-2020-subjects-lvl1-canjs_require,536,469,465,483,592,503,600,526,596,429,522,540,474,786,2352,662,510,585,494,537,633.05
1,http-192.168.1.57-2020-lacunaWebPages-www.bbc.com-www.bbc.com-1,4649,5057,5496,6201,5469,8198,6370,5304,4504,5321,5799,4811,4484,5186,5529,6701,4694,5166,6060,5549,5527.4
1,http-192.168.1.57-2020-lacunaWebPages-www.booking.com-www.booking.com-1,3807,3535,3866,3234,3423,5363,7512,5145,4447,3969,5987,3603,4410,3506,5495,4506,3755,3248,3707,4979,4374.85
1,http-192.168.1.57-2020-lacunaWebPages-www.amazon.com-www.amazon.com-1,9766,7696,9003,11618,6657,11367,7333,9541,10116,12423,8859,10433,10924,9476,11325,9052,9509,8788,9171,7302,9517.95
1,http-192.168.1.57-2020-lacunaWebPages-www.theguardian.com-www.theguardian.com-1,9684,8482,11201,10081,10449,8002,7452,7894,7157,9119,9619,9384,10169,8263,7424,7900,7878,7167,7468,8626,8670.95
1,http-192.168.1.57-2020-subjects-lvl1-dijon,1507,988,962,869,2848,1025,953,1054,949,928,2514,1208,1036,864,726,922,923,1463,912,899,1177.5
1,http-192.168.1.57-2020-lacunaWebPages-www.office.com-www.office.com-1,2580,2656,2669,2722,2714,2569,3406,2501,2357,2330,2686,3350,2332,2305,2319,2487,2287,2412,2563,3225,2623.5
1,http-192.168.1.57-2020-subjects-lvl1-polymer,612,611,601,483,555,621,597,552,612,596,709,658,575,651,574,532,548,705,620,659,603.55
1,http-192.168.1.57-2020-lacunaWebPages-www.wikipedia.org-www.wikipedia.org-1,1680,1629,1760,3501,1599,2297,1713,1659,1685,1648,2098,1651,1813,1585,1759,1547,1557,1648,1557,1533,1795.95
1,http-192.168.1.57-2020-lacunaWebPages-aws.amazon.com-aws.amazon.com-1,6889,4783,4713,4854,5784,5761,4307,4721,4355,4328,4394,4505,7545,4397,5004,4909,6403,4182,4777,4744,5067.75
1,http-192.168.1.57-2020-lacunaWebPages-www.buzzfeed.com-www.buzzfeed.com-1,3907,6924,5977,4457,4645,3688,4041,4276,5748,4045,3929,3589,3640,4366,4029,3859,4823,3880,4145,3872,4392.0
1,http-192.168.1.57-2020-subjects-lvl1-enyo_backbone,2223,2272,2156,2186,2214,2257,2104,2099,2213,2523,2303,2912,2015,2524,2618,2185,2062,2514,2284,2705,2318.45
1,http-192.168.1.57-2020-subjects-lvl1-angularjs_require,465,591,521,543,523,767,606,578,479,533,610,582,2704,497,557,499,592,540,516,597,665.0
1,http-192.168.1.57-2020-subjects-lvl1-exoskeleton,713,745,656,789,703,1199,1691,804,1067,736,2793,604,1542,643,708,671,700,678,895,822,957.95
1,http-192.168.1.57-2020-lacunaWebPages-www.mozilla.org-www.mozilla.org-1,5158,3775,2996,4765,3118,4028,3234,3751,4962,4656,4386,2765,3918,3003,3256,3118,2954,4958,3593,2782,3758.8
1,http-192.168.1.57-2020-subjects-lvl1-gwt,987,816,871,891,735,843,1415,1012,763,718,705,905,2586,1067,833,777,792,887,988,762,967.65
1,http-192.168.1.57-2020-subjects-lvl1-vue,803,910,735,763,783,1064,1375,879,2623,1001,797,592,782,796,970,723,779,713,804,758,932.5
1,http-192.168.1.57-2020-subjects-lvl1-vanillajs,735,536,600,690,870,620,625,615,721,781,542,675,811,657,789,693,873,595,805,751,699.2
1,http-192.168.1.57-2020-subjects-lvl1-mithril,676,2623,644,811,724,571,1214,572,548,744,707,692,625,816,608,673,823,637,648,627,799.15
1,http-192.168.1.57-2020-subjects-lvl1-reagent,3528,2771,3063,2513,3968,3731,3953,3286,12357,3926,5024,2865,3017,1786,1813,3447,4405,4588,2533,2612,3759.3
1,http-192.168.1.57-2020-lacunaWebPages-m.youtube.com-m.youtube.com-1,1586,1235,1250,1295,1253,1353,1179,1316,3004,1184,1118,3232,1299,1319,1314,1845,1425,3138,1358,1247,1597.5
