Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Average
3,http-192.168.1.57-2020-lacunaWebPages-www.theguardian.com-www.theguardian.com-3,7292,8781,7375,6646,6672,7778,8257,9248,9671,9786,7532,8618,7445,7683,7549,7047,7812,8019,7741,9220,8008.6
3,http-192.168.1.57-2020-subjects-lvl3-polymer,630,723,628,2598,566,502,515,594,563,1082,688,581,592,549,528,693,756,560,573,560,724.05
3,http-192.168.1.57-2020-subjects-lvl3-canjs_require,475,484,535,442,485,562,532,429,445,489,477,516,490,455,556,428,505,461,530,1460,537.8
3,http-192.168.1.57-2020-lacunaWebPages-apache.org-apache.org-3,5178,6326,5193,7966,5889,5886,1717,2032,1941,2458,2205,2033,2091,2164,2149,2271,1971,1956,2129,2016,3278.55
3,http-192.168.1.57-2020-subjects-lvl3-backbone,927,681,710,731,752,1194,865,971,700,816,2543,782,1773,1462,885,701,795,687,764,656,969.75
3,http-192.168.1.57-2020-lacunaWebPages-www.wikipedia.org-www.wikipedia.org-3,1787,1576,1488,1588,3555,1496,1605,1527,1852,1627,3100,1694,1546,1993,3437,1592,1563,1553,1591,1610,1889.0
3,http-192.168.1.57-2020-lacunaWebPages-www.amazon.com-www.amazon.com-3,6992,8257,8001,7579,10701,8451,9188,8237,8995,9797,15964,8656,8496,8758,12461,9144,10049,10987,11238,8092,9502.15
3,http-192.168.1.57-2020-subjects-lvl3-vanillajs,730,582,640,694,658,473,608,846,601,641,580,603,528,569,587,637,587,587,763,1354,663.4
3,http-192.168.1.57-2020-lacunaWebPages-www.amazon.in-www.amazon.in-3,5122,6098,5067,4055,4142,5671,4605,4188,4110,3453,6467,4030,3925,4408,4602,3861,3911,5000,4075,3740,4526.5
3,http-192.168.1.57-2020-subjects-lvl3-canjs,1226,1087,954,1178,986,878,792,1196,1810,1253,1274,963,820,838,1329,971,1213,1026,1128,1450,1118.6
3,http-192.168.1.57-2020-lacunaWebPages-www.buzzfeed.com-www.buzzfeed.com-3,5041,3713,4829,3803,3343,3838,3912,4554,4802,4507,5457,4501,5755,4314,6267,4400,3950,3472,3906,4019,4419.15
3,http-192.168.1.57-2020-subjects-lvl3-jsblocks,674,915,867,858,822,696,844,857,725,756,637,683,1171,676,729,730,1106,689,714,895,802.2
3,http-192.168.1.57-2020-subjects-lvl3-knockoutjs_require,600,519,518,527,514,501,509,592,694,702,591,763,516,532,504,496,510,503,507,724,566.1
3,http-192.168.1.57-2020-subjects-lvl3-mithril,594,574,618,626,633,710,1249,618,539,571,595,631,556,579,637,2050,602,525,533,581,701.05
3,http-192.168.1.57-2020-lacunaWebPages-stackoverflow.com-stackoverflow.com-3,2612,2798,2366,3680,4333,2661,2479,2575,2839,2810,3303,3073,2422,2006,2542,2298,3202,2167,2339,3017,2776.1
3,http-192.168.1.57-2020-lacunaWebPages-nl.godaddy.com-nl.godaddy.com-3,3670,3597,3505,4149,4610,4480,2634,3353,3084,2992,3361,3781,2469,5341,3422,2698,2352,2466,2424,2669,3352.85
