Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Average
2,http-192.168.1.57-2020-subjects-lvl2-reagent,1399377,1399377,1399377,1399377,1399377,1399377,1399377,1399377,1399377,1399377,1399377,1399377,1399377,1399377,1399377,1399377,1399377,1399377,1399377,1399377,1399377.0
2,http-192.168.1.57-2020-lacunaWebPages-www.theguardian.com-www.theguardian.com-2,1236408,1236408,1236408,1236408,1236408,1236408,1236408,1236408,1236408,1236408,1236408,1236408,1236408,1236408,1236408,1236408,1236408,1236408,1236408,1236408,1236408.0
2,http-192.168.1.57-2020-subjects-lvl2-dijon,225588,225588,225588,225588,225588,225588,225588,225588,225588,225588,225588,225588,225588,225588,225588,225588,225588,225588,225588,225588,225588.0
2,http-192.168.1.57-2020-subjects-lvl2-vanillajs,37076,37076,37076,37076,37076,37076,37076,37076,37076,37076,37076,37076,37076,37076,37076,37076,37076,37076,37076,37076,37076.0
2,http-192.168.1.57-2020-lacunaWebPages-www.wikipedia.org-www.wikipedia.org-2,227478,227478,227478,227478,227478,227478,227478,227478,227478,227478,227478,227478,227478,227478,227478,227478,227478,227478,227478,227478,227478.0
2,http-192.168.1.57-2020-lacunaWebPages-www.office.com-www.office.com-2,228019,228019,228019,228019,228019,228019,228019,228019,228019,228019,228019,228019,228019,228019,228019,228019,228019,228019,228019,228019,228019.0
2,http-192.168.1.57-2020-lacunaWebPages-www.booking.com-www.booking.com-2,698271,698271,698271,698271,698271,698271,698271,698271,698271,698271,698271,698271,698271,698271,698271,698271,698271,698271,698271,698271,698271.0
2,http-192.168.1.57-2020-subjects-lvl2-backbone_require,480222,480222,480222,480222,480222,480222,480222,480222,480222,480222,480222,480222,480222,480222,480222,480222,480222,480222,480222,480222,480222.0
2,http-192.168.1.57-2020-subjects-lvl2-jsblocks,349147,349147,349147,349147,349147,349147,349147,349147,349147,349147,349147,349147,349147,349147,349147,349147,349147,349147,349147,349147,349147.0
2,http-192.168.1.57-2020-subjects-lvl2-knockoutjs_require,146596,146596,146596,146596,146596,146596,146596,146596,146596,146596,146596,146596,146596,146596,146596,146596,146596,146596,146596,146596,146596.0
