Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Average
3,http-192.168.1.57-2020-lacunaWebPages-www.theguardian.com-www.theguardian.com-3,1236062,1236062,1236062,1236062,1236062,1236062,1236062,1236062,1236062,1236062,1236062,1236062,1236062,1236062,1236062,1236062,1236062,1236062,1236062,1236062,1236062.0
3,http-192.168.1.57-2020-subjects-lvl3-polymer,210271,210271,210271,210271,210271,210271,210271,210271,210271,210271,210271,210271,210271,210271,210271,210271,210271,210271,210271,210271,210271.0
3,http-192.168.1.57-2020-subjects-lvl3-canjs_require,86211,86211,86211,86211,86211,86211,86211,86211,86211,86211,86211,86211,86211,86211,86211,86211,86211,86211,86211,86211,86211.0
3,http-192.168.1.57-2020-lacunaWebPages-apache.org-apache.org-3,502285,502285,502285,502285,502285,502285,502285,502285,502285,502285,502285,502285,502285,502285,502285,502285,502285,502285,502285,502285,502285.0
3,http-192.168.1.57-2020-subjects-lvl3-backbone,203666,203666,203666,203666,203666,203666,203666,203666,203666,203666,203666,203666,203666,203666,203666,203666,203666,203666,203666,203666,203666.0
3,http-192.168.1.57-2020-lacunaWebPages-www.wikipedia.org-www.wikipedia.org-3,224986,224986,224986,224986,224986,224986,224986,224986,224986,224986,224986,224986,224986,224986,224986,224986,224986,224986,224986,224986,224986.0
3,http-192.168.1.57-2020-lacunaWebPages-www.amazon.com-www.amazon.com-3,329850,329850,329850,329850,329850,329850,329850,329850,329850,329850,329850,329850,329850,329850,329850,329850,329850,329850,329850,329850,329850.0
3,http-192.168.1.57-2020-subjects-lvl3-vanillajs,36111,36111,36111,36111,36111,36111,36111,36111,36111,36111,36111,36111,36111,36111,36111,36111,36111,36111,36111,36111,36111.0
3,http-192.168.1.57-2020-lacunaWebPages-www.amazon.in-www.amazon.in-3,232441,232441,232441,232441,232441,232441,232441,232441,232441,232441,232441,232441,232441,232441,232441,232441,232441,232441,232441,232441,232441.0
3,http-192.168.1.57-2020-subjects-lvl3-canjs,518822,518822,518822,518822,518822,518822,518822,518822,518822,518822,518822,518822,518822,518822,518822,518822,518822,518822,518822,518822,518822.0
3,http-192.168.1.57-2020-lacunaWebPages-www.buzzfeed.com-www.buzzfeed.com-3,671122,671122,671122,671122,671122,671122,671122,671122,671122,671122,671122,671122,671122,671122,671122,671122,671122,671122,671122,671122,671122.0
3,http-192.168.1.57-2020-subjects-lvl3-jsblocks,343345,343345,343345,343345,343345,343345,343345,343345,343345,343345,343345,343345,343345,343345,343345,343345,343345,343345,343345,343345,343345.0
3,http-192.168.1.57-2020-subjects-lvl3-knockoutjs_require,85678,85678,85678,85678,85678,85678,85678,85678,85678,85678,85678,85678,85678,85678,85678,85678,85678,85678,85678,85678,85678.0
3,http-192.168.1.57-2020-subjects-lvl3-mithril,52796,52796,52796,52796,52796,52796,52796,52796,52796,52796,52796,52796,52796,52796,52796,52796,52796,52796,52796,52796,52796.0
3,http-192.168.1.57-2020-lacunaWebPages-stackoverflow.com-stackoverflow.com-3,102840,102840,102840,102840,102840,102840,102840,102840,102840,102840,102840,102840,102840,102840,102840,102840,102840,102840,102840,102840,102840.0
3,http-192.168.1.57-2020-lacunaWebPages-nl.godaddy.com-nl.godaddy.com-3,357069,357069,357069,357069,357069,357069,357069,357069,357069,357069,357069,357069,357069,357069,357069,357069,357069,357069,357069,357069,357069.0
3,http-192.168.1.57-2020-lacunaWebPages-www.mozilla.org-www.mozilla.org-3,239032,239032,239032,239032,239032,239032,239032,239032,239032,239032,239032,239032,239032,239032,239032,239032,239032,239032,239032,239032,239032.0
3,http-192.168.1.57-2020-lacunaWebPages-www.paypal.com-www.paypal.com-3,279379,279379,279379,279379,279379,279379,279379,279379,279379,279379,279379,279379,279379,279379,279379,279379,279379,279379,279379,279379,279379.0
3,http-192.168.1.57-2020-subjects-lvl3-vanilla_es6,28491,28491,28491,28491,28491,28491,28491,28491,28491,28491,28491,28491,28491,28491,28491,28491,28491,28491,28491,28491,28491.0
3,http-192.168.1.57-2020-subjects-lvl3-reagent,1310680,1310680,1310680,1310680,1310680,1310680,1310680,1310680,1310680,1310680,1310680,1310680,1310680,1310680,1310680,1310680,1310680,1310680,1310680,1310680,1310680.0
3,http-192.168.1.57-2020-lacunaWebPages-www.bbc.com-www.bbc.com-3,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340.0
3,http-192.168.1.57-2020-subjects-lvl3-backbone_require,90088,90088,90088,90088,90088,90088,90088,90088,90088,90088,90088,90088,90088,90088,90088,90088,90088,90088,90088,90088,90088.0
3,http-192.168.1.57-2020-subjects-lvl3-jquery,218832,218832,218832,218832,218832,218832,218832,218832,218832,218832,218832,218832,218832,218832,218832,218832,218832,218832,218832,218832,218832.0
3,http-192.168.1.57-2020-subjects-lvl3-vue,173374,173374,173374,173374,173374,173374,173374,173374,173374,173374,173374,173374,173374,173374,173374,173374,173374,173374,173374,173374,173374.0
3,http-192.168.1.57-2020-subjects-lvl3-dijon,216493,216493,216493,216493,216493,216493,216493,216493,216493,216493,216493,216493,216493,216493,216493,216493,216493,216493,216493,216493,216493.0
3,http-192.168.1.57-2020-lacunaWebPages-www.booking.com-www.booking.com-3,681511,681511,681511,681511,681511,681511,681511,681511,681511,681511,681511,681511,681511,681511,681511,681511,681511,681511,681511,681511,681511.0
3,http-192.168.1.57-2020-lacunaWebPages-stackexchange.com-stackexchange.com-3,123560,123560,123560,123560,123560,123560,123560,123560,123560,123560,123560,123560,123560,123560,123560,123560,123560,123560,123560,123560,123560.0
3,http-192.168.1.57-2020-lacunaWebPages-aws.amazon.com-aws.amazon.com-3,348310,348310,348310,348310,348310,348310,348310,348310,348310,348310,348310,348310,348310,348310,348310,348310,348310,348310,348310,348310,348310.0
3,http-192.168.1.57-2020-lacunaWebPages-www.office.com-www.office.com-3,219834,219834,219834,219834,219834,219834,219834,219834,219834,219834,219834,219834,219834,219834,219834,219834,219834,219834,219834,219834,219834.0
3,http-192.168.1.57-2020-subjects-lvl3-exoskeleton,80527,80527,80527,80527,80527,80527,80527,80527,80527,80527,80527,80527,80527,80527,80527,80527,80527,80527,80527,80527,80527.0
