Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Average
3,http-192.168.1.57-2020-lacunaWebPages-www.theguardian.com-www.theguardian.com-3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0
3,http-192.168.1.57-2020-subjects-lvl3-polymer,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.0
3,http-192.168.1.57-2020-subjects-lvl3-canjs_require,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.0
3,http-192.168.1.57-2020-lacunaWebPages-apache.org-apache.org-3,39,37,39,39,39,39,39,38,39,39,39,39,39,39,39,39,39,39,39,39,38.85
3,http-192.168.1.57-2020-subjects-lvl3-backbone,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17.0
3,http-192.168.1.57-2020-lacunaWebPages-www.wikipedia.org-www.wikipedia.org-3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
3,http-192.168.1.57-2020-lacunaWebPages-www.amazon.com-www.amazon.com-3,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90.0
3,http-192.168.1.57-2020-subjects-lvl3-vanillajs,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14.0
3,http-192.168.1.57-2020-lacunaWebPages-www.amazon.in-www.amazon.in-3,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95.0
3,http-192.168.1.57-2020-subjects-lvl3-canjs,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13.0
3,http-192.168.1.57-2020-lacunaWebPages-www.buzzfeed.com-www.buzzfeed.com-3,29,29,29,30,29,29,29,29,29,29,29,29,29,29,29,29,30,29,29,29,29.1
3,http-192.168.1.57-2020-subjects-lvl3-jsblocks,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.0
3,http-192.168.1.57-2020-subjects-lvl3-knockoutjs_require,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.0
3,http-192.168.1.57-2020-subjects-lvl3-mithril,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14.0
3,http-192.168.1.57-2020-lacunaWebPages-stackoverflow.com-stackoverflow.com-3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.0
3,http-192.168.1.57-2020-lacunaWebPages-nl.godaddy.com-nl.godaddy.com-3,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19.0
3,http-192.168.1.57-2020-lacunaWebPages-www.mozilla.org-www.mozilla.org-3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0
3,http-192.168.1.57-2020-lacunaWebPages-www.paypal.com-www.paypal.com-3,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13.0
