Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Average
0,http-192.168.1.57-2020-lacunaWebPages-apache.org-apache.org-0,39,39,39,39,39,39,39,39,39,39,37,39,39,39,39,38,39,38,39,39,38.8
0,http-192.168.1.57-2020-subjects-lvl0-reagent,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.0
0,http-192.168.1.57-2020-subjects-lvl0-backbone,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18.0
0,http-192.168.1.57-2020-lacunaWebPages-www.wikipedia.org-www.wikipedia.org-0,11,11,10,11,11,10,10,11,11,10,10,10,10,11,11,10,11,10,11,10,10.5
0,http-192.168.1.57-2020-subjects-lvl0-angularjs_require,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16.0
0,http-192.168.1.57-2020-lacunaWebPages-www.theguardian.com-www.theguardian.com-0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0
0,http-192.168.1.57-2020-lacunaWebPages-www.amazon.com-www.amazon.com-0,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93.0
0,http-192.168.1.57-2020-lacunaWebPages-stackexchange.com-stackexchange.com-0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13.0
0,http-192.168.1.57-2020-lacunaWebPages-www.paypal.com-www.paypal.com-0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13.0
0,http-192.168.1.57-2020-subjects-lvl0-exoskeleton,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18.0
0,http-192.168.1.57-2020-subjects-lvl0-canjs_require,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42.0
0,http-192.168.1.57-2020-subjects-lvl0-jquery,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13.0
0,http-192.168.1.57-2020-subjects-lvl0-vanilla_es6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.0
0,http-192.168.1.57-2020-subjects-lvl0-dojo,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19.0
0,http-192.168.1.57-2020-lacunaWebPages-www.office.com-www.office.com-0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11.0
0,http-192.168.1.57-2020-subjects-lvl0-jsblocks,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
0,http-192.168.1.57-2020-subjects-lvl0-vue,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13.0
0,http-192.168.1.57-2020-lacunaWebPages-nl.godaddy.com-nl.godaddy.com-0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19.0
0,http-192.168.1.57-2020-lacunaWebPages-www.booking.com-www.booking.com-0,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45.0
0,http-192.168.1.57-2020-subjects-lvl0-mithril,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15.0
0,http-192.168.1.57-2020-lacunaWebPages-m.youtube.com-m.youtube.com-0,16,17,16,16,17,16,16,16,16,16,16,16,16,16,16,17,17,16,16,17,16.25
0,http-192.168.1.57-2020-lacunaWebPages-aws.amazon.com-aws.amazon.com-0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
0,http-192.168.1.57-2020-lacunaWebPages-www.amazon.in-www.amazon.in-0,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95.0
0,http-192.168.1.57-2020-subjects-lvl0-canjs,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14.0
0,http-192.168.1.57-2020-subjects-lvl0-polymer,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11.0
0,http-192.168.1.57-2020-lacunaWebPages-www.buzzfeed.com-www.buzzfeed.com-0,29,29,30,29,29,29,29,29,29,29,29,29,29,29,29,30,29,29,29,29,29.1
0,http-192.168.1.57-2020-subjects-lvl0-enyo_backbone,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34.0
0,http-192.168.1.57-2020-subjects-lvl0-vanillajs,15,15,40,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16.25
0,http-192.168.1.57-2020-subjects-lvl0-backbone_require,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23.0
0,http-192.168.1.57-2020-lacunaWebPages-www.bbc.com-www.bbc.com-0,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62.0
0,http-192.168.1.57-2020-lacunaWebPages-stackoverflow.com-stackoverflow.com-0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.0
0,http-192.168.1.57-2020-subjects-lvl0-gwt,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11.0
0,http-192.168.1.57-2020-subjects-lvl0-dijon,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19.0
0,http-192.168.1.57-2020-subjects-lvl0-knockback,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18.0
0,http-192.168.1.57-2020-subjects-lvl0-knockoutjs_require,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15.0
0,http-192.168.1.57-2020-lacunaWebPages-www.mozilla.org-www.mozilla.org-0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0
