Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Average
1,http-192.168.1.57-2020-subjects-lvl1-knockback,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18.0
1,http-192.168.1.57-2020-lacunaWebPages-nl.godaddy.com-nl.godaddy.com-1,19,19,19,19,102,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,23.15
1,http-192.168.1.57-2020-lacunaWebPages-www.amazon.in-www.amazon.in-1,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95.0
1,http-192.168.1.57-2020-subjects-lvl1-backbone_require,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23.0
1,http-192.168.1.57-2020-subjects-lvl1-vanilla_es6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.0
1,http-192.168.1.57-2020-subjects-lvl1-knockoutjs_require,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15.0
1,http-192.168.1.57-2020-subjects-lvl1-backbone,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18.0
1,http-192.168.1.57-2020-subjects-lvl1-jsblocks,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
1,http-192.168.1.57-2020-subjects-lvl1-dojo,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19.0
1,http-192.168.1.57-2020-lacunaWebPages-stackoverflow.com-stackoverflow.com-1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.0
1,http-192.168.1.57-2020-subjects-lvl1-jquery,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13.0
1,http-192.168.1.57-2020-lacunaWebPages-apache.org-apache.org-1,39,39,39,39,39,39,39,39,39,38,38,39,39,39,39,39,39,39,39,39,38.9
1,http-192.168.1.57-2020-lacunaWebPages-www.paypal.com-www.paypal.com-1,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13.0
1,http-192.168.1.57-2020-subjects-lvl1-canjs,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14.0
1,http-192.168.1.57-2020-lacunaWebPages-stackexchange.com-stackexchange.com-1,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13.0
1,http-192.168.1.57-2020-subjects-lvl1-canjs_require,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42.0
1,http-192.168.1.57-2020-lacunaWebPages-www.bbc.com-www.bbc.com-1,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62.0
1,http-192.168.1.57-2020-lacunaWebPages-www.booking.com-www.booking.com-1,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35.0
1,http-192.168.1.57-2020-lacunaWebPages-www.amazon.com-www.amazon.com-1,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92.0
