Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Average
2,http-192.168.1.57-2020-subjects-lvl2-reagent,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
2,http-192.168.1.57-2020-lacunaWebPages-www.theguardian.com-www.theguardian.com-2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0
2,http-192.168.1.57-2020-subjects-lvl2-dijon,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19.0
2,http-192.168.1.57-2020-subjects-lvl2-vanillajs,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15.0
2,http-192.168.1.57-2020-lacunaWebPages-www.wikipedia.org-www.wikipedia.org-2,11,10,11,10,10,10,11,11,11,10,11,11,11,10,10,11,10,11,11,11,10.6
2,http-192.168.1.57-2020-lacunaWebPages-www.office.com-www.office.com-2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11.0
2,http-192.168.1.57-2020-lacunaWebPages-www.booking.com-www.booking.com-2,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35.0
2,http-192.168.1.57-2020-subjects-lvl2-backbone_require,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23.0
2,http-192.168.1.57-2020-subjects-lvl2-jsblocks,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11.0
2,http-192.168.1.57-2020-subjects-lvl2-knockoutjs_require,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15.0
2,http-192.168.1.57-2020-subjects-lvl2-gwt,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11.0
2,http-192.168.1.57-2020-subjects-lvl2-backbone,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18.0
2,http-192.168.1.57-2020-subjects-lvl2-vue,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13.0
2,http-192.168.1.57-2020-lacunaWebPages-www.mozilla.org-www.mozilla.org-2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0
2,http-192.168.1.57-2020-lacunaWebPages-www.amazon.in-www.amazon.in-2,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95.0
2,http-192.168.1.57-2020-subjects-lvl2-mithril,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15.0
2,http-192.168.1.57-2020-subjects-lvl2-angularjs_require,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16.0
2,http-192.168.1.57-2020-lacunaWebPages-aws.amazon.com-aws.amazon.com-2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
2,http-192.168.1.57-2020-lacunaWebPages-m.youtube.com-m.youtube.com-2,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16.0
