Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Average
0,http-192.168.1.57-2020-lacunaWebPages-apache.org-apache.org-0,663059,663059,663059,663059,663059,663059,663059,663059,663059,663059,663059,663059,663059,663059,663059,663059,663059,663059,663059,663059,663059.0
0,http-192.168.1.57-2020-subjects-lvl0-reagent,2596198,2596198,2596198,2596198,2596198,2596198,2596198,2596198,2596198,2596198,2596198,2596198,2596198,2596198,2596198,2596198,2596198,2596198,2596198,2596198,2596198.0
0,http-192.168.1.57-2020-subjects-lvl0-backbone,413632,413632,413632,413632,413632,413632,413632,413632,413632,413632,413632,413632,413632,413632,413632,413632,413632,413632,413632,413632,413632.0
0,http-192.168.1.57-2020-lacunaWebPages-www.wikipedia.org-www.wikipedia.org-0,239042,239042,239042,239042,239042,239042,239042,239042,239042,239042,239042,239042,239042,239042,239042,239042,239042,239042,239042,239042,239042.0
0,http-192.168.1.57-2020-subjects-lvl0-angularjs_require,1065173,1065173,1065173,1065173,1065173,1065173,1065173,1065173,1065173,1065173,1065173,1065173,1065173,1065173,1065173,1065173,1065173,1065173,1065173,1065173,1065173.0
0,http-192.168.1.57-2020-lacunaWebPages-www.theguardian.com-www.theguardian.com-0,1241570,1241570,1241570,1241570,1241570,1241570,1241570,1241570,1241570,1241570,1241570,1241570,1241570,1241570,1241570,1241570,1241570,1241570,1241570,1241570,1241570.0
0,http-192.168.1.57-2020-lacunaWebPages-www.amazon.com-www.amazon.com-0,369004,369004,369004,369004,369004,369004,369004,369004,369004,369004,369004,369004,369004,369004,369004,369004,369004,369004,369004,369004,369004.0
0,http-192.168.1.57-2020-lacunaWebPages-stackexchange.com-stackexchange.com-0,136104,136104,136104,136104,136104,136104,136104,136104,136104,136104,136104,136104,136104,136104,136104,136104,136104,136104,136104,136104,136104.0
0,http-192.168.1.57-2020-lacunaWebPages-www.paypal.com-www.paypal.com-0,463071,463071,463071,463071,463071,463071,463071,463071,463071,463071,463071,463071,463071,463071,463071,463071,463071,463071,463071,463071,463071.0
0,http-192.168.1.57-2020-subjects-lvl0-exoskeleton,115951,115951,115951,115951,115951,115951,115951,115951,115951,115951,115951,115951,115951,115951,115951,115951,115951,115951,115951,115951,115951.0
0,http-192.168.1.57-2020-subjects-lvl0-canjs_require,771328,771328,771328,771328,771328,771328,771328,771328,771328,771328,771328,771328,771328,771328,771328,771328,771328,771328,771328,771328,771328.0
0,http-192.168.1.57-2020-subjects-lvl0-jquery,397946,397946,397946,397946,397946,397946,397946,397946,397946,397946,397946,397946,397946,397946,397946,397946,397946,397946,397946,397946,397946.0
0,http-192.168.1.57-2020-subjects-lvl0-vanilla_es6,47855,47855,47855,47855,47855,47855,47855,47855,47855,47855,47855,47855,47855,47855,47855,47855,47855,47855,47855,47855,47855.0
0,http-192.168.1.57-2020-subjects-lvl0-dojo,239640,239640,239640,239640,239640,239640,239640,239640,239640,239640,239640,239640,239640,239640,239640,239640,239640,239640,239640,239640,239640.0
0,http-192.168.1.57-2020-lacunaWebPages-www.office.com-www.office.com-0,377636,377636,377636,377636,377636,377636,377636,377636,377636,377636,377636,377636,377636,377636,377636,377636,377636,377636,377636,377636,377636.0
0,http-192.168.1.57-2020-subjects-lvl0-jsblocks,477567,477567,477567,477567,477567,477567,477567,477567,477567,477567,477567,477567,477567,477567,477567,477567,477567,477567,477567,477567,477567.0
0,http-192.168.1.57-2020-subjects-lvl0-vue,270877,270877,270877,270877,270877,270877,270877,270877,270877,270877,270877,270877,270877,270877,270877,270877,270877,270877,270877,270877,270877.0
