device,subject,browser,Battery Power [uW] (Delta),Battery Power [uW] (Raw),Battery Remaining (%) [%],Battery Temperature [1/10 C],Bluetooth State,CPU Load (Normalized) [%],CPU Load [%],CPU1 Frequency [kHz],CPU1 Load [%],CPU2 Frequency [kHz],CPU2 Load [%],CPU3 Frequency [kHz],CPU3 Load [%],CPU4 Frequency [kHz],CPU4 Load [%],GPS State,GPU Frequency [KHz],GPU Load [%],Memory Usage [KB],Mobile Data State,Processor Temperature [1/10 C],Screen Brightness,Screen State,Wi-Fi RSSI Level [-dBm],Wi-Fi State,energy_trapz,fcp,fp,Loading_time,Start,End,lvl,n_packets,n_bytes,Energy_J,Energy_mJ
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,1033.95,78181.21,100,272,0,36.065,61.1,1638324,62.3668341708543,1232712,48.0452261306533,1389817.08542714,60.245,1117471.35678392,60.42,0,203335,24.945,1748887.43718593,0,531.457286432161,20,1,-64.4975124378109,3,1556.4086435,1607,1435.3,9766,1619871645901,1619871655667,1,92,349935,0.76351769686,763.51769686
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,1166.86224489796,77364.4744897959,98,279,0,38.005076142132,62.8426395939086,1249620.30456853,65.2741116751269,1310802.03045685,51.6071428571429,1345937.05583756,61.3061224489796,1517311.6751269,62.1020408163265,0,204015.306122449,23.280612244898,1767641.82741117,0,543.959390862944,20,1,-63.5151515151515,3,1510.508837,1732.2,1514.1,7696,1619932732224,1619932739920,1,92,349935,0.595396995673469,595.396995673469
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,930.40404040404,79018.3585858586,99,288,0,36.6954314720812,61.9646464646465,1463963.63636364,63.1868686868687,1061757.57575758,45.8131313131313,1484727.27272727,59.8484848484849,1291878.78787879,63.1111111111111,0,201818.181818182,25.4292929292929,1711171.77777778,0,547.373737373737,20,1,-64.318407960199,3,1561.275699,2908,2107.4,9003,1619947171364,1619947180367,1,92,349935,0.711402282348485,711.402282348485
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,618.197969543147,76534.6598984772,97,289,0,33.7106598984772,59.8730964467005,1331768.52791878,62.6649746192893,1256844.67005076,50.5837563451777,1436881.21827411,58.2233502538071,1178022.33502538,57.6548223350254,0,209477.157360406,19.1167512690355,1693470.9035533,0,545.634517766497,20,1,-64,3,1503.457938,1697.1,1445.9,11618,1619958542447,1619958554065,1,92,349935,0.889179678700508,889.179678700508
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,1087.21717171717,77066.2171717172,100,282,0,37.7373737373737,62.2385786802031,1392909.09090909,63.4242424242424,1351054.54545455,56.2272727272727,1438169.6969697,61.7121212121212,1193648.48484849,62.7323232323232,0,214619.289340102,18.0558375634518,1705180.2020202,0,544.89898989899,20,1,-76,3,1520.681845,1723.4,1235.2,6657,1620018058110,1620018064767,1,92,349935,0.513029807712121,513.029807712121
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,595.841836734694,68472.2602040816,100,244,0,35.746192893401,61.8984771573604,1135772.58883249,64.3807106598985,1193311.6751269,52.6294416243655,1519394.92385787,59.1065989847716,1425612.18274112,60.0510204081633,0,208527.918781726,21.7157360406091,1759437.25888325,0,496.040609137056,20,1,-68,3,1340.4632175,1645.6,1471.6,11367,1620199287601,1620199298968,1,92,349935,0.778324181739796,778.324181739795
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,783.908163265306,64630.8316326531,99,282,0,35.4948979591837,60.5969387755102,1383465.30612245,60.1632653061225,1406889.79591837,47.3826530612245,1149881.63265306,60.1632653061225,1268049.23076923,61.2142857142857,0,209525.510204082,18.3673469387755,1737481.83673469,0,538.461538461538,20,1,-71,3,1269.7505115,1751,1442.7,7333,1620219512604,1620219519937,1,92,349935,0.473937888362245,473.937888362245
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,762.964824120603,66056.216080402,98,286,0,36.572864321608,61.5075376884422,1390576.88442211,65.6262626262626,1216474.3718593,46.6130653266332,1434090.45226131,54.4924623115578,1326090.45226131,58.2110552763819,0,206030.150753769,23.1306532663317,1731873.52763819,0,549.145728643216,20,1,-71,3,1309.9116885,2386.8,1804.6,9541,1620220488848,1620220498389,1,92,349935,0.630242357623115,630.242357623115
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,85.5532994923858,69920.9543147208,93,283,0,36.8636363636364,61.5837563451777,1297478.78787879,63.2284263959391,1241721.21212121,46.0812182741117,1463624.24242424,61.8071065989848,1456048.48484849,61.8071065989848,0,206700.507614213,23.5736040609137,1732909.64467005,0,536.294416243655,20,1,-66.460396039604,3,1372.756383,1673.6,1375.7,10116,1620242451715,1620242461831,1,92,349935,0.707320373847716,707.320373847716
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,570.909547738694,68585.4221105528,91,279,0,38.0854271356784,64.5226130653266,1472755.77889447,65.7373737373738,1441688.44221106,56.7070707070707,1275895.47738693,62.1919191919192,1078299.49748744,65.2777777777778,0,213869.346733668,18.4623115577889,1771206.96969697,0,554.773869346734,20,1,-70,3,1359.2936285,1870.7,1644.1,12423,1620244244608,1620244257031,1,92,349935,0.852036698879397,852.036698879397
