device,subject,browser,Battery Power [uW] (Delta),Battery Power [uW] (Raw),Battery Remaining (%) [%],Battery Temperature [1/10 C],Bluetooth State,CPU Load (Normalized) [%],CPU Load [%],CPU1 Frequency [kHz],CPU1 Load [%],CPU2 Frequency [kHz],CPU2 Load [%],CPU3 Frequency [kHz],CPU3 Load [%],CPU4 Frequency [kHz],CPU4 Load [%],GPS State,GPU Frequency [KHz],GPU Load [%],Memory Usage [KB],Mobile Data State,Processor Temperature [1/10 C],Screen Brightness,Screen State,Wi-Fi RSSI Level [-dBm],Wi-Fi State
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,660.0353535353536,67699.68686868687,89.0,276.0,0.0,40.03030303030303,63.64141414141414,1714751.5151515151,66.02020202020202,1362181.8181818181,56.84848484848485,1398424.2424242424,62.36363636363637,1168751.5151515151,62.33838383838384,0.0,203636.36363636365,24.207070707070706,1745869.527638191,0.0,545.0505050505051,20.0,1.0,-66.0,3.0
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,930.4040404040404,79018.35858585859,99.0,288.0,0.0,36.69543147208122,61.964646464646464,1463963.6363636365,63.186868686868685,1061757.5757575757,45.813131313131315,1484727.2727272727,59.84848484848485,1291878.7878787878,63.111111111111114,0.0,201818.18181818182,25.42929292929293,1711171.7777777778,0.0,547.3737373737374,20.0,1.0,-64.31840796019901,3.0
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,783.9081632653061,64630.83163265306,99.0,282.0,0.0,35.494897959183675,60.5969387755102,1383465.306122449,60.16326530612245,1406889.7959183673,47.38265306122449,1149881.6326530613,60.16326530612245,1268049.2307692308,61.214285714285715,0.0,209525.51020408163,18.367346938775512,1737481.836734694,0.0,538.4615384615385,20.0,1.0,-71.0,3.0
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,1204.9698492462312,66970.31155778894,85.0,278.0,0.0,35.64,62.19,1239444.0,64.51758793969849,1004580.0,45.58793969849246,1226724.0,60.64321608040201,1734924.0,59.93969849246231,0.0,206070.0,21.735,1733112.3819095478,0.0,526.7,20.0,1.0,-64.0,3.0
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,595.8418367346939,68472.26020408163,100.0,244.0,0.0,35.746192893401016,61.898477157360404,1135772.5888324874,64.38071065989848,1193311.6751269035,52.629441624365484,1519394.923857868,59.10659898477157,1425612.1827411167,60.05102040816327,0.0,208527.9187817259,21.715736040609137,1759437.2588832488,0.0,496.0406091370558,20.0,1.0,-68.0,3.0
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,867.5102040816327,64222.795918367345,97.0,279.0,0.0,34.535714285714285,60.515306122448976,1406657.142857143,63.025510204081634,976677.5510204082,40.23979591836735,1783861.224489796,56.17857142857143,1003518.3673469388,60.67857142857143,0.0,204627.55102040817,23.68877551020408,1718712.8775510204,0.0,529.8469387755102,20.0,1.0,-68.0,3.0
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,570.9095477386935,68585.42211055277,91.0,279.0,0.0,38.085427135678394,64.52261306532664,1472755.7788944724,65.73737373737374,1441688.4422110552,56.707070707070706,1275895.4773869347,62.19191919191919,1078299.4974874372,65.27777777777777,0.0,213869.34673366835,18.462311557788944,1771206.9696969697,0.0,554.7738693467337,20.0,1.0,-70.0,3.0
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,1115.919191919192,64704.07070707071,94.0,279.08040201005025,0.0,35.27777777777778,61.833333333333336,1668812.121212121,62.8391959798995,897310.5527638191,41.88944723618091,1251678.391959799,61.46733668341709,1421788.944723618,60.601010101010104,0.0,203636.36363636365,24.272727272727273,1711726.3316582914,0.0,533.1658291457286,20.0,1.0,-67.83743842364532,3.0
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,800.8121827411168,69490.58375634518,90.0,289.0,0.0,38.28061224489796,62.857142857142854,1390346.9387755103,64.6938775510204,1400522.448979592,55.265306122448976,1327273.469387755,60.83163265306123,1421889.7959183673,60.69543147208122,0.0,203654.82233502538,25.223350253807105,1732278.836734694,0.0,548.2142857142857,20.0,1.0,-68.92424242424242,3.0
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,428.1212121212121,62949.520202020205,88.22613065326634,284.90452261306535,0.0,34.36363636363637,61.95454545454545,1404533.3333333333,62.59390862944162,1321090.9090909092,51.71212121212121,1227393.9393939395,61.878787878787875,1058909.0909090908,60.515151515151516,0.0,212727.27272727274,20.666666666666668,1755752.8686868686,0.0,530.0,20.0,1.0,-63.0,3.0
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,681.4220183486239,69991.57798165138,88.0,279.0,0.0,38.8348623853211,63.12385321100918,1573205.529953917,65.88940092165899,1225083.8709677418,47.055299539170505,1295247.9262672812,63.41935483870968,1388151.1520737328,61.637614678899084,0.0,204711.00917431194,22.344036697247706,1753125.0138248848,0.0,545.6221198156682,20.0,1.0,-64.0,3.0
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,1033.95,78181.21,100.0,272.0,0.0,36.065,61.1,1638324.0,62.36683417085427,1232712.0,48.04522613065327,1389817.0854271357,60.245,1117471.3567839195,60.42,0.0,203335.0,24.945,1748887.4371859296,0.0,531.4572864321608,20.0,1.0,-64.49751243781094,3.0
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,710.5454545454545,69338.45454545454,86.0,284.0,0.0,33.58080808080808,60.86363636363637,1227818.1818181819,63.81218274111675,1086715.1515151516,48.756345177664976,1545515.1515151516,59.25888324873097,1253055.8375634518,60.203045685279186,0.0,204580.80808080808,22.42929292929293,1715712.3248730965,0.0,530.2030456852792,20.0,1.0,-66.13065326633166,3.0
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,85.55329949238579,69920.95431472082,93.0,283.0,0.0,36.86363636363637,61.58375634517766,1297478.7878787878,63.22842639593909,1241721.2121212122,46.08121827411168,1463624.2424242424,61.807106598984774,1456048.4848484849,61.807106598984774,0.0,206700.5076142132,23.573604060913706,1732909.6446700508,0.0,536.2944162436548,20.0,1.0,-66.46039603960396,3.0
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,618.1979695431472,76534.65989847716,97.0,289.0,0.0,33.71065989847716,59.87309644670051,1331768.5279187816,62.66497461928934,1256844.6700507614,50.58375634517766,1436881.2182741116,58.223350253807105,1178022.3350253806,57.65482233502538,0.0,209477.1573604061,19.116751269035532,1693470.9035532996,0.0,545.6345177664974,20.0,1.0,-64.0,3.0
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,1087.2171717171718,77066.21717171717,100.0,282.0,0.0,37.73737373737374,62.23857868020305,1392909.0909090908,63.42424242424242,1351054.5454545454,56.22727272727273,1438169.696969697,61.71212121212121,1193648.4848484849,62.73232323232323,0.0,214619.28934010153,18.055837563451778,1705180.202020202,0.0,544.89898989899,20.0,1.0,-76.0,3.0
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,762.964824120603,66056.21608040201,98.0,286.0,0.0,36.57286432160804,61.50753768844221,1390576.8844221106,65.62626262626263,1216474.3718592965,46.61306532663317,1434090.4522613066,54.49246231155779,1326090.4522613066,58.21105527638191,0.0,206030.15075376883,23.13065326633166,1731873.527638191,0.0,549.1457286432161,20.0,1.0,-71.0,3.0
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,2437.0812182741115,62764.66497461929,87.0,290.5050505050505,0.0,34.196969696969695,61.441624365482234,1260460.606060606,62.568527918781726,1400303.0303030303,48.48730964467005,1289616.2436548222,60.95939086294416,1196064.9746192894,61.944162436548226,0.0,208527.9187817259,21.03553299492386,1766724.385786802,0.0,539.5431472081218,20.0,1.0,-66.0,3.0
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,798.2136363636364,65912.56363636363,82.0,291.98198198198196,0.0,58.51598173515982,73.58636363636364,1720504.1095890412,72.84474885844749,1543824.6575342466,63.69090909090909,1717643.8356164384,75.9,2032767.1232876712,73.88636363636364,0.0,224609.0909090909,10.136363636363637,1764084.8,0.0,630.3196347031964,20.0,1.0,-66.81165919282512,3.0
lgg2,http-192-168-1-57-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,chrome,1166.8622448979593,77364.47448979592,98.0,279.0,0.0,38.005076142131976,62.84263959390863,1249620.304568528,65.2741116751269,1310802.0304568529,51.607142857142854,1345937.0558375635,61.30612244897959,1517311.6751269035,62.10204081632653,0.0,204015.306122449,23.28061224489796,1767641.8274111676,0.0,543.9593908629441,20.0,1.0,-63.515151515151516,3.0
lgg2,http-192-168-1-57-2020-subjects-lvl3-canjs,chrome,272.0615384615385,74638.06153846154,89.0,286.0,0.0,26.97948717948718,58.54358974358974,1159396.923076923,61.4,551015.3846153846,25.246153846153845,1186301.5384615385,56.84615384615385,1312418.4615384615,56.302564102564105,0.0,203692.3076923077,25.84102564102564,1647004.5333333334,0.0,511.84615384615387,20.0,1.0,-67.98477157360406,3.0
lgg2,http-192-168-1-57-2020-subjects-lvl3-canjs,chrome,540.2131979695431,73774.16243654823,85.0,279.0,0.0,24.614213197969544,57.47208121827411,1194395.9390862945,60.53299492385787,435167.5126903553,19.746192893401016,939191.8781725889,51.619289340101524,1468556.345177665,56.01015228426396,0.0,203045.6852791878,25.64467005076142,1683704.3654822335,0.0,494.51776649746193,20.0,1.0,-64.71859296482413,3.0
lgg2,http-192-168-1-57-2020-subjects-lvl3-canjs,chrome,766.6212121212121,73785.54545454546,87.0,278.0,0.0,26.833333333333332,59.292929292929294,1373587.878787879,59.27777777777778,586375.7575757576,21.964824120603016,1338000.0,59.63636363636363,882981.8181818182,59.45959595959596,0.0,203707.0707070707,23.282828282828284,1680435.1313131314,0.0,501.969696969697,20.0,1.0,-67.39603960396039,3.0
lgg2,http-192-168-1-57-2020-subjects-lvl3-canjs,chrome,827.7386934673367,74013.20100502513,99.0,277.0,0.0,27.603015075376884,57.24120603015076,1349511.5577889448,60.06565656565657,977427.1356783919,29.241206030150753,1237206.0301507537,55.57286432160804,859260.3015075377,55.69346733668342,0.0,209984.92462311557,20.0,1700907.4545454546,0.0,509.79899497487435,20.0,1.0,-66.0,3.0
lgg2,http-192-168-1-57-2020-subjects-lvl3-canjs,chrome,890.1507537688442,76267.47738693467,94.0,289.0,0.0,26.77889447236181,58.437185929648244,1326657.2864321608,60.62626262626262,692900.5025125628,19.934343434343436,1221539.6984924623,55.207070707070706,985338.6934673367,58.36180904522613,0.0,205231.15577889446,21.190954773869347,1678426.3636363635,0.0,518.8442211055276,20.0,1.0,-73.0,3.0
lgg2,http-192-168-1-57-2020-subjects-lvl3-canjs,chrome,728.0402010050251,66103.45226130653,83.0,296.0,0.0,31.804020100502512,59.130653266331656,1500325.6281407035,60.69346733668342,854207.0351758794,39.20100502512563,1311183.9195979899,59.96482412060301,1065033.1658291458,54.45728643216081,0.0,202145.72864321608,24.246231155778894,1727998.0502512562,0.0,551.9597989949749,20.0,1.0,-64.0,3.0
lgg2,http-192-168-1-57-2020-subjects-lvl3-canjs,chrome,808.7157360406092,72743.29441624366,86.0,286.0,0.0,27.98984771573604,59.29441624365482,1479532.994923858,62.09644670050761,727029.4416243655,23.525510204081634,958306.5989847715,57.984693877551024,1058558.3756345178,58.03061224489796,0.0,207918.78172588832,22.578680203045685,1655731.5126903553,0.0,516.0913705583756,20.0,1.0,-65.62626262626263,3.0
lgg2,http-192-168-1-57-2020-subjects-lvl3-canjs,chrome,1059.1015228426395,74828.92893401015,97.0,295.0,0.0,28.131979695431472,58.80203045685279,1287264.9746192894,60.02040816326531,595553.2994923858,25.214285714285715,1474233.502538071,55.45918367346939,1034326.9035532995,60.48979591836735,0.0,208258.88324873097,20.84263959390863,1708410.448979592,0.0,522.6903553299493,20.0,1.0,-65.0,3.0
lgg2,http-192-168-1-57-2020-subjects-lvl3-canjs,chrome,521.4285714285714,69030.0306122449,89.0,286.0,0.0,29.367346938775512,59.683673469387756,1262093.8775510204,60.98984771573604,1075836.7346938776,28.755102040816325,1143024.4897959183,60.28061224489796,1069420.4081632653,58.52040816326531,0.0,213469.38775510204,20.73469387755102,1725761.5228426396,0.0,518.3673469387755,20.0,1.0,-62.0,3.0
lgg2,http-192-168-1-57-2020-subjects-lvl3-canjs,chrome,742.1065989847716,65591.19289340102,91.0,278.62626262626264,0.0,28.913705583756347,59.34517766497462,1618854.8223350253,61.44387755102041,906871.0659898478,28.629441624365484,1119642.6395939086,56.69035532994924,819204.0609137056,58.34517766497462,0.0,209746.19289340102,20.03045685279188,1720026.2335025382,0.0,513.9593908629441,20.0,1.0,-66.27638190954774,3.0
lgg2,http-192-168-1-57-2020-subjects-lvl3-canjs,chrome,1141.9646464646464,66830.99494949495,85.0,278.93467336683415,0.0,27.095959595959595,57.313131313131315,1396860.606060606,56.78172588832487,825296.9696969697,25.385786802030456,1266375.7575757576,55.31979695431472,898654.5454545454,59.619289340101524,0.0,209696.9696969697,21.86868686868687,1714110.1522842639,0.0,503.6363636363636,20.0,1.0,-66.24875621890547,3.0
lgg2,http-192-168-1-57-2020-subjects-lvl3-canjs,chrome,605.8673469387755,72602.8469387755,91.0,288.0,0.0,24.989795918367346,57.765306122448976,1523963.2653061224,60.45641025641026,463004.0816326531,20.4234693877551,1157366.1538461538,54.30612244897959,864209.2307692308,56.88775510204081,0.0,203673.4693877551,24.724489795918366,1696846.612244898,0.0,510.15384615384613,20.0,1.0,-65.23618090452261,3.0
lgg2,http-192-168-1-57-2020-subjects-lvl3-canjs,chrome,490.7309644670051,70274.83756345177,93.0,284.0,0.0,31.8989898989899,59.36040609137056,1876266.6666666667,60.005076142131976,464303.0303030303,17.284263959390863,1278400.0,51.54822335025381,1050521.2121212122,59.111675126903556,0.0,207309.64467005077,20.949238578680202,1674288.6497461929,0.0,572.3232323232323,20.0,1.0,-63.914572864321606,3.0
lgg2,http-192-168-1-57-2020-subjects-lvl3-canjs,chrome,618.3010204081633,77928.55102040817,94.0,289.93401015228426,0.0,24.724489795918366,56.734693877551024,1073987.7551020407,61.255102040816325,617902.0408163265,27.502538071065988,1226265.306122449,54.67005076142132,1091595.918367347,54.87244897959184,0.0,205510.20408163266,24.321428571428573,1713780.7918781727,0.0,508.2142857142857,20.0,1.0,-73.0,3.0
lgg2,http-192-168-1-57-2020-subjects-lvl3-canjs,chrome,655.8121827411168,75027.83756345177,100.0,289.0,0.0,24.52020202020202,56.323232323232325,1060751.5151515151,59.52791878172589,625120.8121827411,26.299492385786802,1133786.802030457,56.71573604060914,1184661.9289340102,53.35532994923858,0.0,203045.6852791878,26.69191919191919,1734288.4060913706,0.0,503.4010152284264,20.0,1.0,-64.98,3.0
lgg2,http-192-168-1-57-2020-subjects-lvl3-canjs,chrome,692.9030612244898,73128.8112244898,86.0,288.0,0.0,25.096938775510203,58.34871794871795,1391277.551020408,60.724489795918366,384000.0,10.39795918367347,1331840.8163265307,55.1530612244898,842069.387755102,57.81122448979592,0.0,204307.6923076923,25.553846153846155,1653771.5714285714,0.0,509.234693877551,20.0,1.0,-62.45685279187817,3.0
